case_id,earliness_avg,true_avg_100,true_avg_1000,adaption_rate_avg,adapt_per_ep,costs_avg,cost_per_ep,rewards_avg,reward_per_ep,true_per_ep,position_adaptation_per_ep,case_length_per_ep
3853.0,0.03998401476565015,0.8415841584158416,0.8741258741258742,0.48514851485148514,1,26.07920792079208,41.0,0.43564356435643564,0.0,True,1.0,37.0
3854.0,0.03954797083397351,0.8316831683168316,0.8731268731268731,0.49504950495049505,1,26.861386138613863,79.0,0.4207920792079208,-0.5,False,1.0,55.0
3855.0,0.04071463750064017,0.8415841584158416,0.8731268731268731,0.49504950495049505,1,26.514851485148515,44.0,0.42574257425742573,0.0,True,2.0,24.0
3856.0,0.04041907648378499,0.8316831683168316,0.8721278721278721,0.504950495049505,1,27.297029702970296,79.0,0.41089108910891087,-0.5,False,1.0,39.0
3857.0,0.04019123710085505,0.8217821782178217,0.8721278721278721,0.5148514851485149,1,28.07920792079208,79.0,0.39603960396039606,-0.5,False,1.0,35.0
3858.0,0.040131723892103774,0.8217821782178217,0.8731268731268731,0.5247524752475248,1,28.485148514851485,41.0,0.38613861386138615,0.0,True,1.0,27.0
3859.0,0.040131723892103774,0.8217821782178217,0.8741258741258742,0.5247524752475248,0,28.485148514851485,0.0,0.38613861386138615,1.0,True,-1.0,21.0
3860.0,0.041263307370984985,0.8316831683168316,0.8741258741258742,0.5247524752475248,1,28.138613861386137,44.0,0.3910891089108911,0.0,True,2.0,26.0
3861.0,0.0403342050267883,0.8316831683168316,0.8741258741258742,0.5247524752475248,1,28.11881188118812,42.0,0.3910891089108911,0.0,True,2.0,48.0
3862.0,0.03987452137272114,0.8316831683168316,0.8741258741258742,0.5247524752475248,1,28.10891089108911,41.0,0.3910891089108911,0.0,True,1.0,43.0
3863.0,0.0388121382348663,0.8316831683168316,0.8741258741258742,0.5247524752475248,1,28.07920792079208,41.0,0.3910891089108911,0.0,True,1.0,37.0
3864.0,0.03994524678607249,0.8217821782178217,0.8731268731268731,0.5346534653465347,1,28.84158415841584,77.0,0.37623762376237624,-0.5,False,2.0,20.0
3865.0,0.04017590737082333,0.8217821782178217,0.8731268731268731,0.5445544554455446,1,29.257425742574256,42.0,0.36633663366336633,0.0,True,2.0,38.0
